City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,hluti,-27.2167,31.6167,14.97,34,0,1.39,SZ,1689536030
342,ust-tsilma,65.441,52.1498,17.48,83,63,0.88,RU,1689536030
343,cockburn town,21.4612,-71.1419,28.55,81,2,7.22,TC,1689536031
344,goure,13.9835,10.2704,28.85,44,99,8.01,NE,1689536031
345,flying fish cove,-10.4217,105.6791,23.82,88,75,3.6,CX,1689536031
346,nantucket,41.2835,-70.0995,26.03,94,75,6.69,US,1689535874
347,fougamou,-1.2154,10.5838,24.22,76,32,1.92,GA,1689536032
348,fisterra,42.9049,-9.2629,19.86,72,2,5.91,ES,1689536032
349,vernon,50.2581,-119.2691,33.85,18,18,1.03,CA,1689535923
350,illizi,26.4833,8.4667,35.89,11,4,5.37,DZ,1689536033
351,magadan,59.5667,150.8,12.34,83,81,1.02,RU,1689536033
352,puerto ayora,-0.7393,-90.3518,30.98,89,57,4.02,EC,1689536034
353,port lincoln,-34.7333,135.8667,8.46,75,0,3.15,AU,1689536034
354,eyl,7.9803,49.8164,25.26,79,10,11.38,SO,1689536034
355,taghazout,30.5426,-9.7112,26.43,74,0,2.13,MA,1689536035
356,remire-montjoly,4.9167,-52.2667,28.02,69,75,2.06,GF,1689536035
357,balabac,7.9868,117.0645,28.64,77,100,7.67,PH,1689536035
358,windsor,42.3001,-83.0165,28.9,50,0,8.75,CA,1689535802
359,greymouth,-42.4667,171.2,8.24,90,97,1.77,NZ,1689536036
360,mokhotlong,-29.2894,29.0675,3.85,64,2,0.99,LS,1689536036
361,cidreira,-30.1811,-50.2056,13.69,75,87,5.18,BR,1689536037
362,porto torres,40.835,8.3972,28.1,83,26,1.04,IT,1689536037
